ID,FAA_LID,REGION,NAME
180001,LAX,59,Los Angeles Int Airport
180002,POC,59,Brackett Field
180003,CPM,59,Compton/Woodley Airport
180005,EMT,59,El Monte Airport
180006,HHR,59,Hawthorne Airport
180007,BUR,59,Bob Hope Airport
180008,LGB,59,Long Beach-Daugherty Field Airport
180009,SNA,60,John Wayne Airport
180011,SMO,59,Santa Monica Muni Airport
180012,TOA,59,Torrance Muni Airport/Zamperini Field
180013,VNY,59,Van Nuys Airport
180014,WHP,59,Whiteman Airport
180015,FUL,60,Fullerton Muni Airport
180016,AJO,61,Corona Muni Airport
180017,RIR,61,Flabob Airport
180018,HMT,61,Hemet-Ryan
180019,RAL,61,Riverside Muni Airport
180020,CCB,62,Cable Airport
180021,CNO,62,Chino Airport
180022,REI,62,Redlands Muni Airport
180023,L67,62,Rialto Muni-Miro Field
180024,ONT,62,Ontario Int. Airport
180026,RIV,61,March Air Force Base
180032,SLI,60,Los Alamitos Army Airfield
180034,L65,61,Perris Valley
180035,CA89,61,Skylark Field
180037,PSP,64,Palm Springs International Airport
180038,L35,62,Big Bear City Airport
180041,F70,61,French Valley Airport
180042,BNG,61,Banning Muni
180043,AVX,59,Catalina Airport
180044,NUC,59,San Clemente Island
180045,SBD,62,San Bernardino International
180046,L70,59,Agua Dulce Airpark
180047,UDD,64,Bermuda Dunes
180048,L77,64,Chiriaco Summit
180049,63CA,64,Desert Air Sky Ranch
180050,CN64,67,Desert Center
180051,86CL,64,Ernst Field
180052,TRM,64,Jacqueline Cochran Regional
180053,54CL,64,Lake Riverside Estates
180054,8CA5,61,Pines Airpark
8400589,FAUX8400589,69,Us Army National Training Ctr.
8600591,FAUX8600591,69,Magtftc Mcagcc Twentynine Palms
