REGION,STRING
1,US06001
2,US06002
3,US06003
4,US06004
5,US06005
6,US06006
7,US06007
8,US06008
9,US06009
10,US06010
11,US06011
12,US06012
13,US06013
14,US06014
15,US06015
16,US06016
17,US06017
18,US06018
19,US06019
20,US06020
21,US06021
22,US06022
23,US06023
24,US06024
25,US06025
26,US06026
27,US06027
28,US06028
29,US06029
30,US06030
31,US06031
32,US06032
33,US06033
34,US06034
35,US06035
36,US06036
37,US06037
38,US06038
39,US06039
40,US06040
41,US06041
42,US06042
43,US06043
44,US06044
45,US06045
46,US06046
47,US06047
48,US06048
49,US06049
50,US06050
51,US06051
52,US06052
53,US06053
54,US06054
55,US06055
56,US06056
57,US06057
58,US06058
59,US06059
60,US06060
61,US06061
62,US06062
63,US06063
64,US06064
65,US06065
66,US06066
67,US06067
68,US06068
69,US06069
70,US06070
71,US06071
72,US06072
73,US06073
74,US06074
75,US06075
76,US06076
77,US06077
78,US06078
79,US06079
80,US06080
81,US06081
82,US06082
83,US06083
84,US06084
85,US06085
86,US06086
87,US06087
88,US06088
89,US06089
90,US06090
91,US06091
92,US06092
93,US06093
94,US06094
95,US06095
96,US06096
97,US06097
98,US06098
99,US06099
100,US06100
101,US06101
102,US06102
103,US06103
104,US06104
105,US06105
106,US06106
107,US06107
108,US06108
109,US06109
110,US06110
111,US06111
112,US06112
113,US06113
114,US06114
115,US06115
116,US06116
117,US06117
