region,airport,eic,type,fractions|
default,default,default,monthly,0.962509|0.974175|0.989383|0.994767|0.999752|1.044149|1.052232|1.047054|0.993166|0.995045|0.972044|0.975724
default,default,default,weekly,1.036010|1.017904|1.025875|1.015781|1.037507|0.879417|0.987506
default,default,default,duirnal_weekday,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
default,default,default,duirnal_weekend,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
31,SMF,default,monthly,0.962509|0.974175|0.989383|0.994767|0.999752|1.044149|1.052232|1.047054|0.993166|0.995045|0.972044|0.975724
31,SMF,default,weekly,1.036010|1.017904|1.025875|1.015781|1.037507|0.879417|0.987506
31,SMF,default,duirnal_weekday,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
31,SMF,default,duirnal_weekend,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
38,SAN,default,monthly,0.962509|0.974175|0.989383|0.994767|0.999752|1.044149|1.052232|1.047054|0.993166|0.995045|0.972044|0.975724
38,SAN,default,weekly,1.036010|1.017904|1.025875|1.015781|1.037507|0.879417|0.987506
38,SAN,default,duirnal_weekday,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
38,SAN,default,duirnal_weekend,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
39,OAK,default,monthly,0.962509|0.974175|0.989383|0.994767|0.999752|1.044149|1.052232|1.047054|0.993166|0.995045|0.972044|0.975724
39,OAK,default,weekly,1.036010|1.017904|1.025875|1.015781|1.037507|0.879417|0.987506
39,OAK,default,duirnal_weekday,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
39,OAK,default,duirnal_weekend,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
44,SFO,default,monthly,0.962509|0.974175|0.989383|0.994767|0.999752|1.044149|1.052232|1.047054|0.993166|0.995045|0.972044|0.975724
44,SFO,default,weekly,1.036010|1.017904|1.025875|1.015781|1.037507|0.879417|0.987506
44,SFO,default,duirnal_weekday,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
44,SFO,default,duirnal_weekend,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
59,LAX,default,monthly,0.962509|0.974175|0.989383|0.994767|0.999752|1.044149|1.052232|1.047054|0.993166|0.995045|0.972044|0.975724
59,LAX,default,weekly,1.036010|1.017904|1.025875|1.015781|1.037507|0.879417|0.987506
59,LAX,default,duirnal_weekday,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
59,LAX,default,duirnal_weekend,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
59,VNY,default,monthly,0.962509|0.974175|0.989383|0.994767|0.999752|1.044149|1.052232|1.047054|0.993166|0.995045|0.972044|0.975724
59,VNY,default,weekly,1.036010|1.017904|1.025875|1.015781|1.037507|0.879417|0.987506
59,VNY,default,duirnal_weekday,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
59,VNY,default,duirnal_weekend,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
59,LGB,default,monthly,0.962509|0.974175|0.989383|0.994767|0.999752|1.044149|1.052232|1.047054|0.993166|0.995045|0.972044|0.975724
59,LGB,default,weekly,1.036010|1.017904|1.025875|1.015781|1.037507|0.879417|0.987506
59,LGB,default,duirnal_weekday,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
59,LGB,default,duirnal_weekend,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
60,SNA,default,monthly,0.962509|0.974175|0.989383|0.994767|0.999752|1.044149|1.052232|1.047054|0.993166|0.995045|0.972044|0.975724
60,SNA,default,weekly,1.036010|1.017904|1.025875|1.015781|1.037507|0.879417|0.987506
60,SNA,default,duirnal_weekday,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
60,SNA,default,duirnal_weekend,0.0070112959768515943|0.0018641144065438763|8.3467809248233263e-05|0.00011129041233097768|0.0008346780924823326|0.011407267263925212|0.033136720271548604|0.040565355294641364|0.056396416448722946|0.057481497968949975|0.060625452117300097|0.065299649435201154|0.064325858327305099|0.065911746703021537|0.063602470647153742|0.064520616548884316|0.067191586444827783|0.06129319459128596|0.053614156140448503|0.060569806911134609|0.048689555394802735|0.048550442379389012|0.039869790217572754|0.027043570196427578
